,Unnamed: 0,name,year,runtime,genre,rating,metascore,timeline,votes,gross
445,445,Rio Bravo,1959,141,"Action, Drama, Western",8.0,93.0,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.","57,348",$12.54M
446,446,Anatomy of a Murder,1959,161,"Crime, Drama, Mystery",8.0,95.0,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?","60,951",$11.90M
447,447,Touch of Evil,1958,95,"Crime, Drama, Film-Noir",8.0,99.0,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.","99,572",$2.24M
448,448,Cat on a Hot Tin Roof,1958,108,Drama,8.0,84.0,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,"46,118",$17.57M
451,451,The Night of the Hunter,1955,92,"Crime, Drama, Film-Noir",8.0,99.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.","83,378",$0.65M
455,455,High Noon,1952,85,"Drama, Thriller, Western",8.0,89.0,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.","98,664",$9.45M
456,456,A Streetcar Named Desire,1951,122,Drama,8.0,97.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,"100,562",$8.00M
457,457,Strangers on a Train,1951,101,"Crime, Film-Noir, Thriller",8.0,88.0,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,"124,846",$7.63M
462,462,Notorious,1946,102,"Drama, Film-Noir, Romance",8.0,100.0,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,"93,570",$10.46M
466,466,The Maltese Falcon,1941,100,"Crime, Film-Noir, Mystery",8.0,96.0,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","150,606",$2.11M
467,467,The Wizard of Oz,1939,102,"Adventure, Family, Fantasy",8.0,92.0,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,"374,521",$2.08M
470,470,Battleship Potemkin,1925,66,"Drama, History, Thriller",8.0,97.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","54,035",$0.05M
471,471,Knives Out,2019,130,"Comedy, Crime, Drama",7.9,82.0,"A detective investigates the death of a patriarch of an eccentric, combative family.","490,724",$165.36M
472,472,Shoplifters,2018,121,"Crime, Drama",7.9,93.0,A family of small-time crooks take in a child they find outside in the cold.,"66,256",$3.31M
473,473,Marriage Story,2019,137,"Comedy, Drama, Romance",7.9,94.0,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"259,206",$2.00M
